,Sector,Year,FDI($)
261,COMPUTER SOFTWARE & HARDWARE,2005,527.9
262,ELECTRONICS,2005,88.1
263,TELECOMMUNICATIONS,2005,118.33
264,INFORMATION & BROADCASTING,2005,9.85
265,AUTOMOBILE INDUSTRY,2005,121.97
266,AIR TRANSPORT,2005,4.11
267,SEA TRANSPORT,2005,36.95
268,PORTS,2005,13.04
269,RAILWAY RELATED COMPONENTS,2005,10.75
270,INDUSTRIAL MACHINERY,2005,8.89
271,MACHINE TOOLS,2005,11.04
272,AGRICULTURAL MACHINERY,2005,0.0
273,EARTH-MOVING MACHINERY,2005,0.1
274,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2005,12.83
275,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2005,14.13
276,MEDICAL AND SURGICAL APPLIANCES,2005,5.35
277,INDUSTRIAL INSTRUMENTS,2005,1.08
278,SCIENTIFIC INSTRUMENTS,2005,0.03
279,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2005,0.0
280,FERTILIZERS,2005,13.46
281,CHEMICALS,2005,69.39
282,PHOTOGRAPHIC RAW FILM AND PAPER,2005,6.16
283,DYE-STUFFS,2005,1.18
284,DRUGS & PHARMACEUTICALS,2005,293.36
285,"TEXTILES (INCLUDING DYED,PRINTED)",2005,43.04
286,PAPER AND PULP,2005,2.7
287,SUGAR,2005,2.94
288,FERMENTATION INDUSTRIES,2005,139.0
289,FOOD PROCESSING INDUSTRIES,2005,43.98
290,VEGETABLE OILS AND VANASPATI,2005,9.09
291,"SOAPS, COSMETICS & TOILET PREPARATIONS",2005,0.89
292,RUBBER GOODS,2005,40.06
293,"LEATHER,LEATHER GOODS AND PICKERS",2005,0.44
294,GLUE AND GELATIN,2005,0.0
295,GLASS,2005,8.36
296,CERAMICS,2005,26.79
297,CEMENT AND GYPSUM PRODUCTS,2005,0.16
298,TIMBER PRODUCTS,2005,0.07
299,DEFENCE INDUSTRIES,2005,0.05
300,CONSULTANCY SERVICES,2005,252.42
301,SERVICES SECTOR,2005,456.15
302,HOSPITAL & DIAGNOSTIC CENTRES,2005,26.19
303,EDUCATION,2005,1.97
304,HOTEL & TOURISM,2005,37.01
305,TRADING,2005,14.22
306,RETAIL TRADING,2005,0.0
307,AGRICULTURE SERVICES,2005,3.83
308,"DIAMOND,GOLD ORNAMENTS",2005,8.58
309,TEA AND COFFEE,2005,0.01
310,PRINTING OF BOOKS,2005,0.06
311,COIR,2005,0.47
312,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2005,0.0
313,CONSTRUCTION DEVELOPMENT,2005,152.06
314,MISCELLANEOUS INDUSTRIES,2005,121.83
315,METALLURGICAL INDUSTRIES,2006,149.13
316,MINING,2006,7.4
317,POWER,2006,72.69
318,NON-CONVENTIONAL ENERGY,2006,1.35
319,COAL PRODUCTION,2006,9.14
320,PETROLEUM & NATURAL GAS,2006,12.09
321,BOILERS AND STEAM GENERATING PLANTS,2006,0.0
322,PRIME MOVER,2006,0.74
323,ELECTRICAL EQUIPMENTS,2006,39.5
324,COMPUTER SOFTWARE & HARDWARE,2006,1359.97
325,ELECTRONICS,2006,40.91
326,TELECOMMUNICATIONS,2006,617.98
327,INFORMATION & BROADCASTING,2006,55.93
328,AUTOMOBILE INDUSTRY,2006,139.93
329,AIR TRANSPORT,2006,10.27
330,SEA TRANSPORT,2006,53.63
331,PORTS,2006,0.5
332,RAILWAY RELATED COMPONENTS,2006,22.62
333,INDUSTRIAL MACHINERY,2006,42.8
334,MACHINE TOOLS,2006,23.0
335,AGRICULTURAL MACHINERY,2006,92.71
336,EARTH-MOVING MACHINERY,2006,50.87
337,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2006,51.22
338,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2006,25.54
339,MEDICAL AND SURGICAL APPLIANCES,2006,1.52
340,INDUSTRIAL INSTRUMENTS,2006,0.38
341,SCIENTIFIC INSTRUMENTS,2006,0.1
342,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2006,0.0
343,FERTILIZERS,2006,4.24
344,CHEMICALS,2006,387.72
345,PHOTOGRAPHIC RAW FILM AND PAPER,2006,0.0
346,DYE-STUFFS,2006,0.0
347,DRUGS & PHARMACEUTICALS,2006,172.44
348,"TEXTILES (INCLUDING DYED,PRINTED)",2006,94.33
349,PAPER AND PULP,2006,27.38
350,SUGAR,2006,3.0
351,FERMENTATION INDUSTRIES,2006,169.83
352,FOOD PROCESSING INDUSTRIES,2006,41.74
353,VEGETABLE OILS AND VANASPATI,2006,12.31
354,"SOAPS, COSMETICS & TOILET PREPARATIONS",2006,87.42
355,RUBBER GOODS,2006,34.09
356,"LEATHER,LEATHER GOODS AND PICKERS",2006,1.11
357,GLUE AND GELATIN,2006,0.0
358,GLASS,2006,0.81
359,CERAMICS,2006,5.67
360,CEMENT AND GYPSUM PRODUCTS,2006,452.08
361,TIMBER PRODUCTS,2006,0.33
362,DEFENCE INDUSTRIES,2006,0.0
363,CONSULTANCY SERVICES,2006,47.4
364,SERVICES SECTOR,2006,548.61
365,HOSPITAL & DIAGNOSTIC CENTRES,2006,32.53
366,EDUCATION,2006,3.16
367,HOTEL & TOURISM,2006,71.78
368,TRADING,2006,28.93
369,RETAIL TRADING,2006,0.0
370,AGRICULTURE SERVICES,2006,9.08
371,"DIAMOND,GOLD ORNAMENTS",2006,15.52
372,TEA AND COFFEE,2006,1.43
373,PRINTING OF BOOKS,2006,9.9
374,COIR,2006,0.59
375,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2006,0.93
376,CONSTRUCTION DEVELOPMENT,2006,228.71
377,MISCELLANEOUS INDUSTRIES,2006,164.76
378,METALLURGICAL INDUSTRIES,2007,169.94
379,MINING,2007,6.62
380,POWER,2007,157.15
381,NON-CONVENTIONAL ENERGY,2007,2.44
382,COAL PRODUCTION,2007,1.3
383,PETROLEUM & NATURAL GAS,2007,87.71
384,BOILERS AND STEAM GENERATING PLANTS,2007,3.31
385,PRIME MOVER,2007,25.57
